flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
23,23,569,3,94,5,91,33554432,2617000,2.617,48,True,16.808662,14.191662,18.915011927426118,58232,2.4920614541875294,False,112335,23327,318205,229197,89008,1,0,1086,87921,2487,1401,35385,0,1,4,340895,3,3.0346285663417456,0.792344327235501,0.20765567276449903,2264640
24,24,30,4,5,0,1,33554432,219000,0.219,4,True,14.962807999999999,14.743808,18.20665705901759,56090,2.4003937176359824,False,116694,23354,336259,242919,93340,0,0,1103,92237,3181,2078,46891,0,1,5,359757,2,3.0829091469998455,0.7998697448026463,0.20013025519735375,3001024
25,25,139,4,23,1,19,33554432,709500,0.7095,13,True,15.358162,14.648662,18.3249129510941,59055,2.527282064449865,False,115924,23336,331654,239066,92588,6,0,1060,91522,2805,1745,40888,0,1,5,372340,3,3.2119319554190677,0.7986956971809116,0.20130430281908837,2616832
26,26,248,4,41,2,37,33554432,1200000,1.2,22,True,16.833612,15.633612,17.17040540599319,59629,2.5518466213035476,False,123758,23355,347335,246932,100403,25,0,742,99636,1864,1122,40326,0,1,4,384300,1,3.1052538017744307,0.81128492703502,0.18871507296498005,2580864
27,27,357,4,59,3,55,33554432,1690500,1.6905,31,True,16.749792,15.059292,17.825237468003145,58729,2.5133307656096204,False,119210,23331,333572,237693,95879,1,0,1374,94504,3545,2171,36534,0,1,5,368435,3,3.0906383692643233,0.804286553141515,0.19571344685848502,2338176
28,28,466,4,77,4,73,33554432,2181000,2.181,40,True,16.240666,14.059666,19.09259124647769,53847,2.3044036461676725,False,111277,23348,312408,224479,87929,7,0,1139,86783,3517,2378,36046,0,1,5,339853,4,3.054117203015897,0.790181259379746,0.20981874062025396,2306944
29,29,575,4,95,5,91,33554432,2671500,2.6715,49,True,18.976163999999997,16.304664,16.4637220368356,56704,2.426670090298284,False,129060,23335,367854,262129,105725,28,0,741,104956,2161,1420,53211,0,1,5,398326,3,3.0863629319696266,0.819192623585929,0.18080737641407096,3405504
30,30,36,5,6,0,1,33554432,273500,0.2735,5,True,18.142792,17.869292,15.02216517587826,60174,2.5751701116959813,False,141467,23336,397602,279471,118131,63,0,501,117567,1436,935,54590,0,1,5,446421,3,3.155654675648738,0.8350428015014102,0.16495719849858978,3493760
31,31,145,5,24,1,19,33554432,764000,0.764,14,True,14.411881999999999,13.647882,19.66865305547044,59097,2.5290794710489153,False,108015,23354,306457,221796,84661,63,0,1124,83474,2664,1540,31467,0,1,5,337442,1,3.124029070036569,0.783789288524742,0.21621071147525806,2013888
32,32,254,5,42,2,37,33554432,1254500,1.2545,23,True,17.001566,15.747066,17.046696571920126,57461,2.4590662044763985,False,124641,23360,350924,249643,101281,27,0,604,100650,1642,1038,44312,0,1,5,393325,1,3.1556630643207293,0.8125817347421795,0.18741826525782046,2835968
33,33,363,5,60,3,55,33554432,1745000,1.745,32,True,17.764126,16.019126,16.757184880123923,59289,2.5372961869302864,False,126785,23380,364687,261282,103405,49,0,792,102564,1985,1193,51832,0,1,5,416594,2,3.285830342706156,0.8155933272863509,0.18440667271364908,3317248
34,34,472,5,78,4,73,33554432,2235500,2.2355,41,True,16.153537999999998,13.918038,19.286874773585186,55958,2.3947447254675396,False,110148,23352,307059,220263,86796,0,0,1108,85688,2826,1718,30913,0,1,5,337744,3,3.066274467080655,0.7879943348948687,0.21200566510513127,1978432
35,35,581,5,96,5,91,33554432,2726000,2.726,50,True,17.141881,14.415881,18.62081519679581,56798,2.4306928574485385,False,114098,23364,328139,237405,90734,27,0,801,89906,2323,1522,43272,0,1,5,355184,1,3.1129730582481727,0.7952286630791074,0.20477133692089255,2769408
36,36,42,6,7,0,1,33554432,328000,0.328,6,True,14.329659,14.001659,19.171689297675368,56950,2.437197757521291,False,110841,23344,328978,241481,87497,0,0,605,86892,1220,615,50353,0,1,5,342923,2,3.093828096101623,0.7893920119811261,0.21060798801887387,3222592
37,37,151,6,25,1,19,33554432,818500,0.8185,15,True,16.939706,16.121206,16.651077841198727,58094,2.486155689647794,False,127601,23344,356536,252279,104257,1,0,1127,103129,2983,1856,43329,0,1,5,400130,2,3.135790471861506,0.8170547252764476,0.18294527472355232,2773056
38,38,260,6,43,2,37,33554432,1309000,1.309,24,True,16.559585,15.250585,17.601649772779208,55945,2.3941883853297385,False,120694,23346,333228,235880,97348,5,0,1232,96111,2935,1703,35961,0,1,5,381921,3,3.1643743682370293,0.806568677813313,0.193431322186687,2301504
39,39,369,6,61,3,55,33554432,1799500,1.7995,33,True,19.455525,17.656025,15.203617801855174,61136,2.6163392818932683,False,139750,23344,401265,284859,116406,0,0,836,115570,2740,1904,60701,0,1,5,445130,3,3.1851878354203937,0.83295885509839,0.16704114490161,3884864
40,40,478,6,79,4,73,33554432,2290000,2.29,42,True,16.672693,14.382693,18.663782644877422,57923,2.4788376770659477,False,113836,23372,325926,235462,90464,48,0,853,89563,2445,1592,40405,0,1,5,360500,2,3.1668365016339295,0.7946870937137637,0.20531290628623633,2585920
